locus,gene,protein ID,gene length,mass fractions
b3241,aaeA,P46482,933,0
b3240,aaeB,P46481,1968,0
b3243,aaeR,P67662,930,0
b3242,aaeX,P46478,204,0
b2836,aas,P31119,2160,4.53E-05
b0885,aat,P0A8P1,705,0
b1338,abgA,P77357,1311,0
b1337,abgB,P76052,1446,0
b1339,abgR,P77744,909,0
b1336,abgT,P46133,1527,0
b2628,abpA,P52137,1617,0
b2627,abpB,P52126,2190,0
b0715,abrB,P75747,1047,0
b0185,accA,P0ABD5,960,0.000588638
b3255,accB,P0ABD8,471,0.000749279
b3256,accC,P24182,1350,0.001001361
b2316,accD,P0A9Q5,915,0.000766286
b4015,aceA,P0A9G6,1305,0.000239892
b4014,aceB,P08997,1602,0.000187927
b0114,aceE,P0AFG8,2664,0.003368765
b0115,aceF,P06959,1893,0.002098432
b4016,aceK,P11071,1737,0
b2296,ackA,P0A6A3,1203,0.000577357
b1276,acnA,P25516,2676,0.000448508
b0118,acnB,P36683,2598,0.006994703
b0404,acpH,P21515,582,0
b1094,acpP,P0A6A8,237,0.004528478
b2563,acpS,P24224,381,1.90E-05
b3475,acpT,P37623,588,2.38E-05
b0463,acrA,P0AE06,1194,0.000509069
b0462,acrB,P31224,3150,0.000463211
b2470,acrD,P24177,3114,0
b3265,acrE,P24180,1158,0
b3266,acrF,P24181,3105,8.45E-07
b0464,acrR,P0ACS9,648,1.33E-05
b0762,acrZ,P0AAW9,150,0
b4069,acs,P27550,1959,0.000564609
b4067,actP,P32705,1650,3.38E-05
b2213,ada,P06134,1065,0
b1623,add,P22333,1002,5.47E-05
b3665,adeD,P31441,1767,3.72E-05
b3714,adeP,P31466,1338,0.000182673
b3664,adeQ,P31440,1335,0
b1241,adhE,P0A9Q7,2676,0.001998901
b1478,adhP,P39451,1011,0
b4117,adiA,P28629,2268,0
b4115,adiC,P60061,1338,0
b4116,adiY,P33234,762,0
b0474,adk,P69441,645,0.000947159
b2468,aegA,P37127,1980,1.83E-06
b3072,aer,P50466,1521,0.000130544
b0476,aes,P23872,960,0
b0263,afuB,P75681,363,0
b0262,afuC,P37009,1047,0
b3135,agaA,P42906,504,0
b3138,agaB,P42909,477,0
b3139,agaC,P42910,804,0
b3140,agaD,P42911,792,0
b3141,agaI,P42912,756,0
b3131,agaR,P0ACK2,810,4.51E-05
b3136,agaS,P42907,1155,0
b3133,agaV,P42904,474,1.06E-05
b3134,agaW,P42905,402,0
b1002,agp,P19926,1242,5.65E-05
b0605,ahpC,P0AE08,564,0.004638839
b0606,ahpF,P35340,1566,0.000591284
b4269,ahr,P27250,1020,2.88E-05
b4187,aidB,P33224,1626,0
b2252,ais,P45565,603,0.000105842
b2290,alaA,P0A959,1218,0.000169426
b2379,alaC,P77434,1239,0.000119784
b2670,alaE,P64550,450,0
b2697,alaS,P00957,2631,0.001628221
b1415,aldA,P25553,1440,0.001332278
b3588,aldB,P37685,1539,4.41E-05
b2068,alkA,P04395,849,0
b2212,alkB,P05050,651,3.88E-06
b0505,allA,P77731,483,0
b0512,allB,P77671,1362,0
b0516,allC,P77425,1236,0
b0517,allD,P77555,1050,0
b0515,allE,P75713,786,0
b0506,allR,P0ACN4,816,0.000171423
b0504,allS,P0ACR0,927,0
b2624,alpA,P33997,213,0
b4053,alr,P0A6B4,1080,5.30E-05
b4087,alsA,P32721,1533,0
b4088,alsB,P39265,936,1.09E-05
b4086,alsC,P32720,981,0
b4085,alsE,P32719,696,0
b4084,alsK,P32718,930,0
b3088,alx,P42601,966,0
b2435,amiA,P36548,870,5.66E-05
b4169,amiB,P26365,1338,5.37E-05
b2817,amiC,P63883,1254,3.92E-05
b0867,amiD,P75820,831,1.15E-05
b1982,amn,P0AE12,1455,0.000293546
b4150,ampC,P00811,1134,2.09E-05
b0110,ampD,P13016,552,0
b0111,ampE,P0AE14,855,2.08E-05
b0433,ampG,P0AE16,1476,5.27E-05
b0376,ampH,P0AD70,1158,0
b0451,amtB,P69681,1287,0
b1927,amyA,P26612,1488,5.58E-05
b1640,anmK,P77570,1110,4.89E-05
b1767,ansA,P0A962,1017,9.19E-05
b2957,ansB,P00805,1047,0
b1453,ansP,P77610,1500,0
b0050,apaG,P62672,378,2.09E-05
b0049,apaH,P05637,843,4.32E-05
b4055,aphA,P0AE22,714,1.39E-05
b0980,appA,P07102,1299,1.42E-05
b0979,appB,P26458,1137,0
b0978,appC,P26459,1545,0
b4592,appX,P24244,93,0
b0564,appY,P05052,750,0
b0469,apt,P69503,552,0.000298642
b0875,aqpZ,P60844,696,0
b0062,araA,P08202,1503,0
b0063,araB,P08204,1701,0
b0064,araC,P0A9E0,879,0
b0061,araD,P08203,696,0
b2841,araE,P0AE24,1419,0
b1901,araF,P02924,990,1.39E-06
b1900,araG,P0AAF3,1515,1.98E-05
b4460,araH,P0AE26,990,0
b0396,araJ,P23910,1185,0
b4401,arcA,P0A9Q1,717,0.000657075
b3210,arcB,P0AEC3,2337,6.71E-05
b4550,arfA,P36675,219,0
b0191,arfB,P40711,423,0
b2818,argA,P0A6C5,1332,0.000494959
b3959,argB,P0A6C8,774,0.000399179
b3958,argC,P11446,1005,0.000325521
b3359,argD,P18335,1221,0.001028073
b3957,argE,P23908,1152,0.000562039
b0273,argF,P06960,1005,0.00039649
b3172,argG,P0A6E4,1344,0.002940059
b3960,argH,P11447,1374,0.000887291
b4254,argI,P04391,1005,0.000608025
b2918,argK,P27254,996,0
b2923,argO,P11667,636,0
b2916,argP,P0A8S1,894,0.0001485
b3237,argR,P0A6D0,471,0
b1876,argS,P11875,1734,0.000512671
b2310,argT,P09551,783,0.000472211
b1166,ariR,P75993,267,0
b2255,arnA,P77398,1983,0.000816949
b2253,arnB,P77690,1158,0.000708596
b2254,arnC,P77757,969,0.000345381
b2256,arnD,P76472,891,0
b4544,arnE,Q47377,336,0
b2258,arnF,P76474,387,0
b2257,arnT,P76473,1653,0
b0908,aroA,P0A6D3,1284,0.000627603
b3389,aroB,P07639,1089,0.000132746
b2329,aroC,P12008,1086,0.00026919
b1693,aroD,P05194,759,9.64E-05
b3281,aroE,P15770,819,5.53E-05
b2601,aroF,P00888,1071,0.000577075
b0754,aroG,P0AB91,1053,0.001855367
